REGON;;NSK;s_osoba_us;s_typ;s_nrj;s_ad1;s_ad2;s_pkd;s_lps;s_waga;s_a4;s_a5a;s_a5b;s_a5d;s_a5e;s_a5f;s_a5g;s_a5h;s_a6;s_a7a;s_a7b;s_a7c;w_a4_1;w_request;w_a5a;w_a5b;w_a5d;w_a5e;w_a5f;w_a5g;w_a5h;w_a6;w_a7a;w_a7b;w_a7c
00252712500000;;"""BOMN CAST 2000"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                ";Mirela ZieliÒska                                  ;ZT;1504   ;ul. RÛwna 6                                                   ;Bydgoszcz                    ;5510 ;12;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.crowncenter.pl;1.0;1;1;2;2;2;2;2;2;1;1;2
00334453300000;;MARLIN LOGISTYKA SP”£KA JAWNA MA£ECCY                                   ;Magdalena Adamczyk                                ;ZT;17216  ;ul. Rawicka 46                                                ;Krotoszyn                    ;4690 ;22;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.amrlin.com.pl;21.0;;;;;;;;;;;
00138487600000;;"""BETMEL"" ZA-D PREFABR.BETON”W SP.Z O.O., £•KA                           ";Marcelina Jeøak                                   ;ZT;29     ;£πka 2                                                        ;Boles≥awiec                  ;2361 ;16;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.betmel.pl;1.0;1;2;2;2;2;2;2;2;2;2;2
00233240400000;;"PRZEDSI BIORSTWO PRODUKCYJNO - HANDLOWE ""REVMOD"" SP”£KA Z OGRANICZON• OD";Eløbieta Zborowska                                ;ZT;11992  ;ul. Adama Mickiewicza 20                                      ;MoÒki                        ;1071 ;107;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.revmod.com.pl;1.0;2;2;2;2;2;2;2;2;2;2;2
00104375000000;;"""SPO£EM"" POWSZECHNA SP”£DZIELNIA SPOØYWC”W W NOWEJ SOLI                 ";Katarzyna Kalinowska                              ;ZT;3236   ;ul. marsz. JÛzefa Pi≥sudskiego 3                              ;Nowa SÛl                     ;4711 ;25;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.pssnowasol.pl;1.0;1;2;2;2;2;2;2;2;2;2;2
00355996600000;;BLACHARSTWO I LAKIERNICTWO POJAZDOWE EDWARD CZOSNOWSKI                  ;Eløbieta BurliÒska                                ;ZT;13908  ;ul. Ignacego DaszyÒskiego 325                                 ;Gliwice                      ;4520 ;11;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.glossa.biz.pl;1.0;1;2;2;1;2;2;2;2;2;2;2
00252447000000;;POLPENTEL SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                       ;Mirela ZieliÒska                                  ;ZT;1500   ;ul. Zio≥owa 1                                                 ;Osielsko                     ;5210 ;16;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.pentel.pl;1.0;1;2;2;2;2;2;2;2;2;2;2
00334576800000;;ZAK£AD åLUSARSKO - MECHANICZNY ANDRZEJ SMELCZY—SKI                      ;Magdalena Adamczyk                                ;ZT;17217  ;WyrÛw 25                                                      ;Stawiszyn                    ;2562 ;31;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.smelczynski.pl;1.0;1;2;2;1;2;2;2;2;2;2;2
00248240500000;;"""EUROPLANT"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                     ";Mirela ZieliÒska                                  ;ZT;1490   ;ul. Adama Czartoryskiego 9                                    ;Bydgoszcz                    ;7830 ;320;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.e-europlant.pl;21.0;;;;;;;;;;;
00470642900000;;AUTOTANK ANDRZEJ GOTWALD 97-400 BE£CHAT”W ALEJA W£”KNIARZY 1 TEL. 044/63;Jolanta Czokaj≥o                                  ;ZT;3843   ;ul. Aleja W≥Ûkniarzy 1                                        ;Be≥chatÛw                    ;4730 ;14;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.autotank.pl;1.0;2;2;2;2;1;2;2;2;2;2;2
00284989200000;;"PRZEDSI BIORSTWO HANDLOWO- US£UGOWE ""KORTALS"" DARIUSZ KORTALS           ";Nina RumiÒska                                     ;ZT;12574  ;ul. GdaÒska 10                                                ;W≥adys≥awowo                 ;4634 ;23;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.taxanto.pl;1.0;1;2;2;2;2;2;2;2;2;2;2
00347102000000;;"""AIMEX"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                         ";Eløbieta BurliÒska                                ;ZT;13886  ;ul. RÛøana 7                                                  ;Ruda ålπska                  ;4711 ;32;0;2;0;0;0;0;0;0;0;2;1;2;2;https://www.aimex.sklep.pl;1.0;2;2;2;2;2;2;2;2;2;2;2
00518359000000;;"""WIMAR-CH£ODNIA"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                ";Jaros≥aw £ubiÒski                                 ;ZT;6878   ;RadwankÛw Szlachecki 10                                       ;Sobienie-Jeziory             ;1039 ;23;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.wimarchlodnia.pl;1.0;2;2;2;2;2;2;2;2;2;2;2
00481697400000;;"""BOWA POLSKA"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                   ";Magdalena Adamczyk                                ;ZT;17243  ;ul. Obornicka 10                                              ;Suchy Las                    ;2932 ;547;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.bowa.pl/;1.0;2;2;2;2;2;2;2;2;1;1;1
00513241000000;;"Oficyna Wydawnicza ""PRESS - MEDIA"" Roman Oraczewski                     ";Eløbieta Zborowska                                ;ZT;11057  ;ul. Podwis≥ocze 46                                            ;RzeszÛw                      ;5814 ;24;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.pressmedia.com.pl;1.0;2;1;2;1;2;1;2;2;1;2;2
00313102700000;;"PRZEDSI BIORSTWO PRODUKCYJNO HANDLOWO US£UGOWE ""TOPAZ"" JAROS£AW NIEDZIEL";Katarzyna Kalinowska                              ;ZT;3241   ;ul. 30 Stycznia 60                                            ;MiÍdzyrzecz                  ;4729 ;46;0;2;0;0;0;0;0;0;0;2;1;2;1;https://www.miedzyrzeczpokoje.pl;1.0;1;2;2;1;2;2;2;2;1;1;2
00374056500000;;TAX PFK SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI• SP”£KA KOMANDYTOWA      ;Magdalena Adamczyk                                ;ZT;17223  ;ul. Plac Wolnoúci 7                                           ;Konin                        ;6920 ;18;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.tax-symotiuk.pl;1.0;1;2;2;1;2;1;2;2;1;2;2
00381426900000;;"PRZEDSI BIORSTWO PRODUKCYJNO US£UGOWO HANDLOWE ""RASEL"" - T.I B. LEWANDOW";Magdalena Mac                                     ;ZT;19273  ;ul. Kolejowa 18                                               ;Dygowo                       ;1721 ;43;0;2;0;0;0;0;0;0;0;2;1;2;2;https://www.rasel.com.pl;1.0;1;2;2;2;2;1;2;2;2;2;2
00480639000000;;"PPU""LABARTO""SP. Z O.O.,åREM                                             ";Magdalena Adamczyk                                ;ZT;17242  ;ul. Sadowa 9                                                  ;årem                         ;4941 ;23;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.lebarto.pl;2.0;;;;;;;;;;;
00486683100000;;ANDRZEJ PAWLAK WYTWARZANIE WYROB”W Z TWORZYW SZTUCZNYCH                 ;Magdalena Adamczyk                                ;ZT;17257  ;ul. KÛrnicka 54-62                                            ;åroda Wielkopolska           ;2229 ;25;0;2;0;0;0;0;0;0;0;2;1;2;2;https://www.wwts.com.pl;2.0;;;;;;;;;;;
00239652200000;;"""LIGHTNET SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•""                      ";Eløbieta BurliÒska                                ;ZT;13853  ;ul. Sportowa 2                                                ;Kobiernice                   ;2740 ;468;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.lightnet.pl;1.0;1;1;2;2;2;2;2;2;2;2;1
00509702700000;;PRACOWNICZA SP”£DZIELNIA HANDLOWO-US£UGOWA W KOZIENICACH                ;Jaros≥aw £ubiÒski                                 ;ZT;6872   ;ul. Radomska 57                                               ;Kozienice                    ;4711 ;15;0;2;0;0;0;0;0;0;0;2;1;2;2;https://www.kozienice.net;1.0;2;2;2;2;2;1;2;2;2;2;2
00510890800000;;"""MINOS"" JAN MACIEJCZYK SP”£KA JAWNA                                     ";Jaros≥aw £ubiÒski                                 ;ZT;6874   ;ul. Lubelska 9 m 11                                           ;Radom                        ;4635 ;18;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.minos.radom.pl;1.0;2;2;2;2;2;2;2;2;2;2;2
00825804000000;;"PRZEDSI BIORSTWO WIELOBRANØOWE ""WITEX"" W£ADYS£AW GRZESZCZUK             ";Magdalena Adamczyk                                ;ZT;17274  ;RUDA 30B                                                      ;ZDUNY                        ;2550 ;17;0;2;0;0;0;0;0;0;0;2;1;2;2;https://www.brokelmann.pl;1.0;2;2;2;2;2;2;2;2;2;2;2
00274086000000;;"""CALLIDA"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                       ";Eløbieta BurliÒska                                ;ZT;13862  ;ul. Teofila Lenartowicza 6/8                                  ;CzÍstochowa                  ;1413 ;55;0;2;0;0;0;0;0;0;0;2;1;2;2;https://www.callida.pl/;1.0;1;2;2;2;2;2;2;2;2;2;2
00692659500000;;Drynkowski Marek, IZMAR APTEKA                                          ;Jaros≥aw £ubiÒski                                 ;ZT;6911   ;ul. Jana Kujawskiego 79                                       ;ZaborÛw                      ;4773 ;10;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.nzozmedicor.pl;1.0;1;2;2;2;2;1;2;2;2;2;2
00240394300000;;"ZAK£ADY PROD.-HAN. ""PRODET"" SP. O.O.                                    ";Eløbieta BurliÒska                                ;ZT;13855  ;ul. M≥yÒska 10                                                ;Bielsko-Bia≥a                ;1071 ;23;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.prodet.com.pl;2.0;;;;;;;;;;;
00271602700000;;"ZDZIS£AW HASIAK ZAK£AD PRODUKCYJNO-US£UGOWO-HANDLOWY ""BUDOMONTAØ""       ";Aneta Witkowska                                   ;ZT;16557  ;ul. Polna 5                                                   ;Dzia≥dowo                    ;4120 ;14;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.autoserwis.hasiak.com.pl;1.0;2;2;2;2;2;2;2;2;2;2;2
00567190500000;;Amex International Barbara Kowalczyk                                    ;Paulina Ciesielska                                ;ZT;15989  ;BorkÛw 5                                                      ;Iwaniska                     ;4649 ;15;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.lowellfoods.com;1.0;2;2;2;2;2;2;2;2;2;2;2
00314563800000;;Centrum Ogrodnicze i Motel Grzegorz Pintal                              ;Katarzyna Kalinowska                              ;ZT;3243   ;ul. Osiedle Bermudy 24F                                       ;Santok                       ;4776 ;23;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.gzyl.net.pl;1.0;2;2;2;2;2;2;2;2;2;2;2
00485156800000;;LESZEK KAZUå AUTO LECH                                                  ;Magdalena Adamczyk                                ;ZT;17251  ;ul. Malwowa 121                                               ;PoznaÒ                       ;4520 ;23;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.autolech.com;1.0;1;2;2;2;2;2;2;2;1;1;1
00801393000000;;"""TEKNAMOTOR"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                    ";Paulina Ciesielska                                ;ZT;15992  ;ul. åwiÍtokrzyska 2 m A                                       ;Ostrowiec åwiÍtokrzyski      ;2830 ;94;0;2;0;0;0;0;0;0;0;2;1;2;2;https://www.teknamotor.pl;1.0;1;2;2;1;2;1;2;2;2;2;2
00275626800000;;S‹DPACK K£OBUCK SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                 ;Eløbieta BurliÒska                                ;ZT;13869  ;ul. Drukarska 8                                               ;K≥obuck                      ;2222 ;226;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.suedpack.com;1.0;2;2;2;2;2;2;2;2;2;2;2
00838276800000;;PRZEDSI BIORSTWO INØYNIERYJNO- INSTALACYJNO-SPRZ TOWE GRZEGORZ ROZWARSKI;Mirela ZieliÒska                                  ;ZT;1531   ;ul. ToruÒska 300                                              ;Bydgoszcz                    ;4322 ;14;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.akcess.net.pl;21.0;;;;;;;;;;;
00842497500000;;PPUH Plast-Bet  Jan Maciejowski                                         ;Jaros≥aw £ubiÒski                                 ;ZT;6947   ;ul. KrÛtka 2                                                  ;Garwolin                     ;2363 ;28;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.plasbet.pl;2.0;;;;;;;;;;;
00817050000000;;AGENA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                           ;Magdalena Adamczyk                                ;ZT;17271  ;ul. Czechos≥owacka 185                                        ;PoznaÒ                       ;4222 ;17;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.agena.poznan.pl;1.0;2;2;2;2;2;2;2;2;2;2;2
00540066100000;;"SP”£DZIELNIA MLECZARSKA ""ROSPUDA"" W FILIPOWIE                           ";Eløbieta Zborowska                                ;ZT;12004  ;ul. 1 Maja 48                                                 ;FilipÛw                      ;1051 ;57;0;2;0;0;0;0;0;0;0;2;1;2;2;https://www.smrospuda.pl;1.0;2;2;2;2;2;2;2;2;2;2;2
01019951900000;;"""JASTIM"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                        ";Jaros≥aw £ubiÒski                                 ;ZT;6996   ;Aleje Jerozolimskie 144                                       ;Warszawa                     ;5229 ;107;0;2;0;0;0;0;0;0;0;2;1;2;2;https://www.jastim.pl;1.0;1;2;2;1;2;1;2;2;1;1;1
00420078200000;;BIMIZ PRODUKT SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                   ;Mirela ZieliÒska                                  ;ZT;2490   ;ul. Blizocka 33                                               ;Jeziorzany                   ;1039 ;77;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.bimiz.com;1.0;2;2;2;2;2;2;2;2;1;2;1
00545852500000;;Zak≥ad Handlowo - Us≥ugowy JÛzef Skrzypa                                ;Magdalena Mac                                     ;ZT;19285  ;Binowo 4                                                      ;Stare Czarnowo               ;4520 ;12;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.wwwskrzypa.pl;21.0;;;;;;;;;;;
01126063000000;;"""CARRIER MANUFACTURING POLAND"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•  ";Eløbieta Zborowska                                ;ZT;11078  ;ul. Kolejowa - m 24                                           ;Ropczyce                     ;2829 ;505;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.carrier.com;2.0;;;;;;;;;;;
00482765300000;;"DOM HANDOWY ""PANDA"" G”èDè WOJTCZAK SP”£KA JAWNA                         ";Magdalena Adamczyk                                ;ZT;17245  ;ul. Warszawska 8                                              ;Wrzeúnia                     ;4778 ;14;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.panda-rtv.pl;1.0;2;2;2;2;2;2;2;2;2;2;2
01158516000000;;"""AT&T GLOBAL NETWORK SERVICES POLSKA"" SP. Z O.O.                        ";Jaros≥aw £ubiÒski                                 ;ZT;7282   ;Aleje Jerozolimskie 96                                        ;Warszawa                     ;6110 ;220;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.corp.att.com;1.0;2;1;2;1;2;2;2;2;1;1;1
00510837000000;;CENTRUM ZAOPATRZENIA ENERGETYKI ELTAST SP”£KA Z OGRANICZON• ODPOWIEDZIAL;Jaros≥aw £ubiÒski                                 ;ZT;6873   ;ul. ToruÒska 9                                                ;Radom                        ;4321 ;29;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.eltast.pl;1.0;1;2;2;1;2;1;2;2;2;2;2
00548492000000;;HANDWIT S. DZIENISZEWSKI, Z. WITKOWSKI SP”£KA JAWNA                     ;Magdalena Mac                                     ;ZT;19288  ;ul. Jana Henryka Dπbrowskiego 28-31                           ;Szczecin                     ;6820 ;16;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.handwit.pl;1.0;1;2;2;1;2;2;2;2;1;2;2
00511198000000;;"""IZAN +"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                        ";RÛøa Ka≥doÒska                                    ;ZT;5076   ;ul. Øabiniec 46                                               ;KrakÛw                       ;8122 ;1109;0;2;0;0;0;0;0;0;0;2;1;2;1;https://www.rekeep.pl;1.0;1;2;2;1;2;1;2;2;2;2;2
01079449800000;;BIC POLSKA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                      ;Jaros≥aw £ubiÒski                                 ;ZT;7133   ;Aleja Niepodleg≥oúci 69                                       ;Warszawa                     ;4690 ;62;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.bicworld.com;1.0;2;1;2;1;2;2;2;2;2;2;1
00452936400000;;OZAS-ESAB SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                       ;Paulina Ciesielska                                ;ZT;10506  ;ul. Andrzeja Struga 10                                        ;Opole                        ;2790 ;255;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.esab.pl;2.0;;;;;;;;;;;
01097635400000;;HBO POLSKA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                      ;Jaros≥aw £ubiÒski                                 ;ZT;7171   ;ul. Wiertnicza 166                                            ;Warszawa                     ;5913 ;32;0;2;0;0;0;0;0;0;0;2;2;2;1;https://www.warnermedia.com;2.0;;;;;;;;;;;
01106448300000;;HAVI LOGISTICS SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                  ;Jaros≥aw £ubiÒski                                 ;ZT;7187   ;ul. Daniszewska 25                                            ;Warszawa                     ;4639 ;506;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.havi-logistics.com/pl/content/idex.asp;21.0;;;;;;;;;;;
01007489300000;;FRUBELLA PROCESSING SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•             ;Jaros≥aw £ubiÒski                                 ;ZT;6966   ;ul. Krakowska 102                                             ;Bia≥obrzegi                  ;1039 ;110;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.frubella.com;1.0;2;2;2;2;2;2;2;2;2;2;2
00526642900000;;"""CERAMIKA TUB•DZIN"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•             ";Jolanta Czokaj≥o                                  ;ZT;3850   ;Tubπdzin 31                                                   ;WrÛblew                      ;2331 ;277;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.tubadzin.pl;1.0;1;2;2;1;1;1;2;2;2;2;1
00515075000000;;"PRZEDSI BIORSTWO US£UGOWO-HANDLOWE ""AZART"" DOMINIK DAWIDA, PAWE£ TROJANO";Eløbieta Zborowska                                ;ZT;11063  ;ul. BohaterÛw 5                                               ;RzeszÛw                      ;4321Z;14;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.azart.rzeszow.pl;1.0;2;1;2;2;2;2;2;2;2;2;2
01116483600000;;MEKOPRINT CABLES SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                ;Jaros≥aw £ubiÒski                                 ;ZT;7214   ;ul. £ukasiewicza 7B                                           ;Wo≥omin                      ;2732 ;179;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.mekoprint.com;1.0;1;2;2;1;2;2;2;2;1;2;1
01083526300000;;"""LEGO POLSKA "" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                  ";Jaros≥aw £ubiÒski                                 ;ZT;7140   ;ul. Wo≥oska 22A                                               ;Warszawa                     ;4649 ;156;0;2;0;0;0;0;0;0;0;2;1;2;1;https://www.lego.com;4.0;;;;;;;;;;;
01089693900000;;HIVENTY POLAND SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                  ;Jaros≥aw £ubiÒski                                 ;ZT;7153   ;ul. Cybernetyki 9                                             ;Warszawa                     ;5912 ;25;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.start.it.pl;1.0;2;2;2;2;2;2;2;2;2;2;2
00621271400000;;OBRAM SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                           ;Aneta Witkowska                                   ;ZT;16572  ;ul. Gietrzwa≥dzka 20                                          ;Stawiguda                    ;2893 ;270;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.obram.pl;1.0;2;1;2;2;2;2;2;2;2;2;2
01128611400000;;"PIOTR BA—KOWSKI ""GEPARD"" - Warszawskie Centrum Kaletnicze               ";Jaros≥aw £ubiÒski                                 ;ZT;7241   ;ul. Skibicka 7                                                ;Warszawa-W≥ochy              ;1512 ;21;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.gepard.pl;1.0;1;1;2;2;1;2;2;2;1;1;1
01180854100000;;AVON DISTRIBUTION POLSKA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•        ;Jaros≥aw £ubiÒski                                 ;ZT;7300   ;ul. Stacyjna 77                                               ;Garwolin                     ;8292 ;253;0;2;0;0;0;0;0;0;0;2;1;2;1;https://www.avon.com;1.0;1;1;2;2;1;2;2;2;2;2;2
01059257600000;;MOLEX CES EE SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                    ;Nina RumiÒska                                     ;ZT;12621  ;ul. Tczewska 2                                                ;Lubiszewo Tczewskie          ;4652Z;14;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.molex.com;4.0;;;;;;;;;;;
01015256400000;;GARDA RAINWEAR OF POLAND SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•        ;Jaros≥aw £ubiÒski                                 ;ZT;6985   ;ul. Przechodnia 5                                             ;Pu≥tusk                      ;1412 ;15;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.gardaofpoland.com.pl;1.0;2;2;2;2;2;2;2;2;2;2;2
01051766900000;;TECHNICOLOR POLSKA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•              ;Jaros≥aw £ubiÒski                                 ;ZT;7065   ;ul. Julianowska 65A                                           ;Piaseczno                    ;2221 ;588;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.technicolor.com;1.0;2;2;2;2;2;2;2;2;2;2;2
01074527000000;;NP PIASECZNO SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                    ;Jaros≥aw £ubiÒski                                 ;ZT;7120   ;ul. Armii Krajowej 8                                          ;Piaseczno                    ;2229 ;159;0;2;0;0;0;0;0;0;0;2;1;2;2;https://www.np-plastibell.com;1.0;2;1;2;1;2;2;2;2;2;2;2
01117446700000;;"""LIONBRIDGE POLAND"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•             ";Jaros≥aw £ubiÒski                                 ;ZT;7218   ;ul. Jutrzenki 183                                             ;Warszawa                     ;7430 ;1221;0;2;0;0;0;0;0;0;0;2;1;2;2;https://www.lionbridge.com/;1.0;2;1;2;2;2;2;2;2;1;1;1
01239234400000;;"""UNIVERSAL LEAF TOBACCO POLAND SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•"" ";Paulina Ciesielska                                ;ZT;16006  ;ul. Przemys≥owa 20                                            ;JÍdrzejÛw                    ;1200 ;327;0;2;0;0;0;0;0;0;0;1;2;2;2;https://www.universalleaf.pl;21.0;;;;;;;;;;;
01321131000000;;PPHU PLASTIMET-PANORAMA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•         ;Ewelina Buler                                     ;ZT;7550   ;ul. Fabryczna 9                                               ;Leszno                       ;4399 ;181;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.plastimet-panorama.pl;1.0;1;2;2;2;2;1;2;2;2;2;2
